Time,Open,High,Low,Close,Buffer0,Buffer1,Buffer2,Buffer3,Buffer4,Buffer5,Buffer6,Buffer7
2026.06.05 23:30,4322.62,4331.04,4320.94,4328.56,4414.881779,,,4279.337998,4454.868849,4361.014270,,
2026.06.05 23:00,4318.53,4326.58,4311.72,4322.59,4415.705419,,,4278.252372,4455.650132,4360.876705,,
2026.06.05 22:30,4323.83,4325.17,4314.06,4318.61,4416.754873,,,4276.756505,4456.437232,4360.576369,,
2026.06.05 22:00,4322.42,4324.29,4313.80,4323.86,4419.157710,,,4276.786748,4459.116183,4361.894964,,
2026.06.05 21:30,4325.93,4327.09,4315.25,4322.41,4420.918873,,,4273.238029,4460.573443,4360.923222,,
2026.06.05 21:00,4341.78,4342.11,4321.65,4325.79,4422.787386,,,4271.676739,4462.401840,4361.079110,,
2026.06.05 20:30,4342.57,4347.19,4337.08,4341.74,4424.518060,,,4274.563800,4464.294378,4363.436433,,
2026.06.05 20:00,4344.65,4346.83,4335.64,4342.41,4425.712889,,,4273.877606,4465.654991,4363.754407,,
2026.06.05 19:30,4329.48,4344.82,4323.03,4344.58,4427.256184,,,4271.984136,4467.209683,4363.599063,,
2026.06.05 19:00,4335.42,4340.11,4325.18,4329.61,4428.907480,,,4262.896949,4467.336847,4359.429675,,
2026.06.05 18:30,4351.70,4354.87,4333.96,4335.49,4431.154296,,,4263.872789,4469.789092,4361.115270,,
2026.06.05 18:00,4369.56,4372.35,4348.14,4351.77,4433.730315,,,4270.793178,4472.900214,4366.018315,,
2026.06.05 17:30,4360.90,4370.08,4344.62,4369.56,4437.303519,,,4280.596024,4476.860525,4372.804051,,
2026.06.05 17:00,4365.78,4379.71,4352.91,4361.17,4440.723485,,,4249.379917,4475.716841,4357.584149,,
2026.06.05 16:30,4404.79,4409.62,4365.35,4365.80,4447.786361,,,4254.463993,4481.139356,4363.130048,,
2026.06.05 16:00,4406.60,4420.89,4399.63,4404.50,4455.713041,,,4326.614575,4489.484415,4402.969709,,
2026.06.05 15:30,4464.75,4466.12,4404.79,4406.33,4459.850989,,,4336.863907,4493.559348,4410.114891,,
2026.06.05 15:00,4470.16,4475.79,4461.26,4464.56,4464.563864,,,4404.227936,4499.942199,4446.675138,,
2026.06.05 14:30,4465.83,4475.57,4462.83,4470.17,4464.563977,,,4405.726133,4500.453809,4447.618230,,
2026.06.05 14:00,4466.45,4467.04,4457.97,4466.02,4464.439660,,,4404.880298,4499.998387,4447.009031,,
2026.06.05 13:30,4466.05,4467.85,4461.75,4466.47,4464.408124,,,4403.097456,4499.520756,4445.931070,,
2026.06.05 13:00,4464.81,4468.02,4463.06,4466.02,4464.378575,,,4402.068637,4499.517685,4445.405695,,
2026.06.05 12:30,4462.97,4469.17,4459.39,4464.83,4464.356174,,,4401.301755,4499.697837,4445.079202,,
2026.06.05 12:00,4462.53,4469.26,4458.87,4462.99,4464.345391,,,4400.351980,4499.650649,4444.581162,,
2026.06.05 11:30,4466.72,4468.44,4460.96,4462.74,4464.390547,,,4399.981293,4499.981227,4444.517792,,
2026.06.05 11:00,4460.75,4466.76,4458.59,4466.69,4464.423263,,,4399.874060,4500.515098,4444.658100,,
2026.06.05 10:30,4467.04,4467.20,4459.64,4460.86,4464.362790,,,4396.912994,4499.892695,4442.934756,,
2026.06.05 10:00,4452.93,4467.31,4451.63,4467.14,4464.451250,,,4397.040128,4500.716768,4443.303078,,
2026.06.05 09:30,4442.27,4456.19,4442.14,4453.06,4464.350911,,,4390.820136,4498.014986,4439.212930,,
2026.06.05 09:00,4439.91,4446.03,4428.63,4442.35,4464.746509,,,4387.145987,4497.096865,4437.117043,,
2026.06.05 08:30,4444.66,4448.21,4438.38,4439.96,4465.867142,,,4380.533472,4495.537309,4433.467103,,
2026.06.05 08:00,4444.94,4449.96,4442.19,4444.65,4466.810974,,,4382.197386,4497.147544,4434.995310,,
2026.06.05 07:30,4439.62,4446.59,4437.54,4444.93,4467.332760,,,4381.961030,4498.005372,4435.253842,,
2026.06.05 07:00,4442.39,4444.49,4438.31,4439.58,4467.811043,,,4379.471714,4498.175397,4434.150999,,
2026.06.05 06:30,4436.83,4443.36,4436.20,4442.39,4468.549096,,,4379.455745,4499.476575,4434.704650,,
2026.06.05 06:00,4440.62,4443.86,4435.21,4436.82,4469.232561,,,4376.391734,4499.993919,4433.468639,,
2026.06.05 05:30,4451.12,4451.76,4438.35,4440.63,4470.607723,,,4377.582747,4502.186508,4435.028315,,
2026.06.05 05:00,4446.74,4455.29,4442.11,4451.14,4472.193633,,,4381.702164,4504.578631,4438.147790,,
2026.06.05 04:30,4458.71,4459.69,4444.05,4446.73,4473.090087,,,4377.170515,4504.502019,4436.015570,,
2026.06.05 04:00,4459.30,4470.15,4449.34,4458.63,4474.589736,,,4382.638669,4506.684422,4439.719062,,
2026.06.05 03:30,4457.73,4466.78,4456.30,4459.26,4476.386785,,,4381.760505,4505.526349,4439.190469,,
2026.06.05 03:00,4461.72,4464.90,4450.48,4457.89,4477.232036,,,4381.953301,4506.833890,4439.866957,,
2026.06.05 02:30,4469.17,4469.70,4460.47,4461.65,4478.646668,,,4377.356097,4507.116293,4437.920439,,
2026.06.05 02:00,4469.67,4474.22,4464.28,4469.18,4479.302099,,,4378.593036,4508.484304,4439.101992,,
2026.06.05 01:30,4478.83,4481.25,4468.81,4469.56,4479.731266,,,4375.309824,4508.888214,4437.681985,,
2026.06.05 01:00,4475.89,4480.80,4472.97,4478.85,4480.074244,,,4378.287771,4509.909578,4439.557987,,
2026.06.04 23:30,4477.54,4477.57,4474.29,4474.59,4480.109667,,,4373.888248,4509.821750,4437.353064,,
2026.06.04 23:00,4480.67,4481.62,4476.57,4477.66,4480.204258,,,4372.940544,4510.374863,4437.083760,,
2026.06.04 22:30,4480.06,4482.38,4476.68,4480.74,4480.259849,,,4371.747595,4510.919003,4436.683232,,
2026.06.04 22:00,4478.20,4483.31,4476.11,4480.07,4480.241207,,,4366.231977,4511.179802,4434.032912,,
2026.06.04 21:30,4478.09,4479.48,4472.65,4478.13,4480.247762,,,4361.618531,4511.473489,4431.845735,,
2026.06.04 21:00,4478.13,4481.06,4476.27,4478.14,4480.336406,,,4353.876835,4511.588422,4428.064991,,
2026.06.04 20:30,4476.74,4481.52,4476.06,4478.10,4480.431263,,,4349.347070,4512.531267,4426.150708,,
2026.06.04 20:00,4482.58,4482.58,4474.01,4476.78,4480.546456,,,4344.229975,4513.600880,4423.991160,,
2026.06.04 19:30,4483.61,4484.21,4479.07,4482.57,4480.767543,,,4339.678839,4514.707970,4422.142683,,
2026.06.04 19:00,4477.40,4485.10,4475.26,4483.54,4480.617688,,,4324.742964,4515.758413,4415.071042,,
2026.06.04 18:30,4470.84,4479.29,4469.58,4477.41,4480.377893,,,4298.747693,4514.835426,4401.866317,,
2026.06.04 18:00,4465.96,4474.69,4463.63,4470.93,4480.720309,,,4255.243702,4514.616225,4380.339853,,
2026.06.04 17:30,4486.65,4487.36,4456.85,4465.78,4482.621872,,,4165.719495,4516.122871,4336.857412,,
2026.06.04 17:00,4495.52,4499.99,4483.91,4486.39,4491.526350,,,3849.885078,4513.495668,4180.199429,,
2026.06.04 16:30,4504.67,4515.37,4494.81,4495.53,4495.530000,,,2795.183333,4517.608387,3655.675860,,
2026.06.04 16:00,4504.02,4509.89,4500.25,4504.61,,,,,,,,
2026.06.04 15:30,4498.45,4510.85,4496.85,4504.03,,,,,,,,
2026.06.04 15:00,4511.43,4514.64,4491.03,4498.47,,,,,,,,
2026.06.04 14:30,4489.59,4514.59,4482.09,4511.45,,,,,,,,
2026.06.04 14:00,4473.70,4491.34,4468.69,4489.47,,,,,,,,
2026.06.04 13:30,4467.47,4473.86,4466.36,4473.65,,,,,,,,
2026.06.04 13:00,4470.30,4472.12,4464.21,4467.52,,,,,,,,
2026.06.04 12:30,4464.68,4475.39,4461.45,4470.41,,,,,,,,
2026.06.04 12:00,4463.34,4469.59,4460.61,4464.73,,,,,,,,
2026.06.04 11:30,4463.74,4469.34,4459.53,4463.35,,,,,,,,
2026.06.04 11:00,4461.49,4468.32,4458.52,4463.48,,,,,,,,
2026.06.04 10:30,4465.08,4468.45,4459.27,4461.64,,,,,,,,
2026.06.04 10:00,4467.60,4470.77,4461.79,4465.18,,,,,,,,
2026.06.04 09:30,4472.01,4476.76,4462.94,4467.58,,,,,,,,
2026.06.04 09:00,4469.16,4477.13,4466.34,4472.12,,,,,,,,
